1528737075,105
1528737076,47
1528737077,102
1528737078,50
1528737092,123
1528737094,38
1528737097,0
1528737099,117
1528737100,0
1528737114,88
1528737115,181
1528737119,124
1528737120,2416
1528737121,28
1528737611,202
1528737612,630
1528737613,42
1528738504,157
1528738505,272
1528739415,157
1528739416,3007
1528739506,2922
1528739507,158
1528739823,251
1528739824,157
1528739867,116
1528739868,202
1528740241,176
1528740242,2328
1528740283,2369
1528740284,2281
1528740285,2349
1528740441,2319
1528740442,2245
1528740535,2272
1528740536,2442
1528740681,2385
1528740682,373
1528740908,320
1528740909,2227
1528740910,441
1528741297,307
1528741298,555
1528741299,431
1528741551,361
1528741553,504
1528741554,326
1528741616,293
1528742113,371
1528742114,257
1528742259,313
1528742260,445
1528742269,467
1528743222,414
1528743223,519
1528743226,519
1528743227,409
1528743232,392
1528743233,3294
1528743243,3174
1528743244,3332
1528743297,3132
1528743298,3268
1528743316,3266
1528743317,448
1528743329,436
1528743330,580
1528743380,534
1528743381,2892
1528743391,2913
1528743392,4569
1528743393,3096
1528743410,3207
1528743411,4503
1528743412,5927
1528743413,5932
1528743414,3160
1528743436,3181
1528743437,3066
1528743440,3066
1528743441,5825
1528743442,5825
1528743443,3083
1528743538,3020
1528743539,2874
1528743792,2871
1528743793,595
1528743928,535
1528743929,425
1528743933,437
1528743934,697
1528744049,854
1528744050,456
1528744078,446
1528744079,724
1528744080,724
1528744081,842
1528744091,786
1528744092,916
1528744093,912
1528744094,790
1528744095,940
1528744096,810
1528744282,834
1528744283,470
1528744322,533
1528744323,2393
1528744324,679
1528744346,727
1528744853,600
1528744854,732
1528745107,624
1528745108,762
1528745109,623
1528745564,650
1528745565,533
1528745615,473
1528745869,509
1528745870,681
1528746360,387
1528746361,507
1528746631,485
1528746632,709
1528746633,597
1528746798,671
1528746799,547
1528746809,446
1528746810,674
1528746834,617
1528746835,728
1528746838,728
1528746839,626
1528746853,720
1528746854,574
1528746860,586
1528746861,708
1528746870,716
1528746871,578
1528746878,593
1528746879,701
1528746886,705
1528746887,543
1528746893,533
1528746894,715
1528746904,665
1528746905,525
1528746910,551
1528746911,731
1528746920,691
1528746921,557
1528746936,653
1528746937,552
1528746941,558
1528746942,718
1528746954,722
1528746955,580
1528746965,617
1528746966,2629
1528746967,2795
1528746992,2698
1528746993,2584
1528747000,2584
1528747001,2724
1528747016,2744
1528747017,2913
1528747020,2913
1528747021,2800
1528747022,2800
1528747023,4478
1528747024,2910
1528747043,3089
1528747044,2899
1528747050,2828
1528747051,2996
1528747067,2785
1528747068,2949
1528747076,2987
1528747077,2877
1528747084,2878
1528747085,2986
1528747092,2993
1528747093,2871
1528747101,3013
1528747102,2851
1528747104,2932
1528747105,2795
1528747110,2852
1528747111,2738
1528747117,2745
1528747118,2977
1528747119,2861
1528747134,2726
1528747135,842
1528747160,808
1528747161,682
1528747194,858
1528747195,742
1528747200,745
1528747201,865
1528747210,869
1528747211,741
1528747217,717
1528747218,877
1528747227,849
1528747228,695
1528747234,678
1528747235,836
1528747244,833
1528747245,707
1528747252,922
1528747262,705
1528747265,733
1528747266,2699
1528747267,2861
1528747282,2743
1528747283,2871
1528747292,2824
1528747293,2698
1528747299,2720
1528747300,2908
1528747316,2703
1528747317,2817
1528747319,2828
1528747320,808
1528747326,819
1528747327,687
1528747334,687
1528747335,800
1528747343,723
1528747344,589
1528747350,656
1528747351,798
